央视卫视,#genre#
TNT SPORTS 2,http://23.237.228.133/live2/TNT_Sports_2.m3u8
TNT SPORTS 3,http://23.237.228.133/live2/TNT_Sports_3.m3u8
TNT SPORTS 4,http://23.237.228.133/live2/TNT_Sports_4.m3u8
NBA_TV_Live_TV,http://23.237.228.133/live2/NBA_TV_Live_TV.m3u8
CNBC Live TV,http://23.237.228.133/live2/CNBC_Live_TV.m3u8
CBS Sports Network Live TV,http://23.237.228.133/live2/CBS_Sports_Network_Live_TV.m3u8
ACC Network Live TV,http://23.237.228.133/live2/ACC_Network_Live_TV.m3u8
World Fishing Network Live TV,http://23.237.228.133/live2/World_Fishing_Network_Live_TV.m3u8
Fight Network Live TV,http://23.237.228.133/live2/Fight_Network_Live_TV.m3u8
WWE_Live_TV,http://23.237.228.133/live2/WWE_Live_TV.m3u8
NFL REDZONE Live TV,http://23.237.228.133/live2/NFL_REDZONE_Live_TV.m3u8
NFL Network Live TV,http://23.237.228.133/live2/NFL_Network_Live_TV.m3u8
MLB Network Live TV,http://23.237.228.133/live2/MLB_Network_Live_TV.m3u8
Golf Channel Live TV,http://23.237.228.133/live2/Golf_Channel_Live_TV.m3u8
Premier Sports 2,http://23.237.228.133/live2/Premier_Sports_2.m3u8
Premier Sports 1,http://23.237.228.133/live2/Premier_Sports_1.m3u8
Eurosport 1 Live TV,http://23.237.228.133/live2/Eurosport_1_Live_TV.m3u8
Eurosport 2 Live TV,http://23.237.228.133/live2/Eurosport_2_Live_TV.m3u8
Bein Sports English 2 Live TV,http://23.237.228.133/live2/Bein_Sports_English_2_Live_TV.m3u8
Bein Sports USA Live TV,http://23.237.228.133/live2/Bein_Sports_USA_Live_TV.m3u8
Tennis Channel Live TV,http://23.237.228.133/live2/Tennis_Channel_Live_TV.m3u8
FOX SPORTS 2 LIVE TV,http://23.237.228.133/live2/Fox_Sports_2_Live_TV.m3u8
FOX SPORTS 1 LIVE TV,http://23.237.228.133/live2/Fox_Sports_1_Live_TV.m3u8
FOX NEWS Live TV,http://23.237.228.133/live2/FOX_NEWS_Live_TV.m3u8
ESPN U Live TV,http://23.237.228.133/live2/ESPN_U_Live_TV.m3u8
ESPN News Live TV,http://23.237.228.133/live2/ESPN_News_Live_TV.m3u8
ESPN 2 Live TV,http://23.237.228.133/live2/ESPN_2_Live_TV.m3u8
ESPN Live TV,http://23.237.228.133/live2/ESPN_Live_TV.m3u8
Sky Sports Racing Live TV,http://23.237.228.133/live2/Sky_Sports_Racing_Live_TV.m3u8
Sky Sports Golf Live TV,http://23.237.228.133/live2/Sky_Sports_Golf_Live_TV.m3u8
Sky Sports F1 Live TV,http://23.237.228.133/live2/Sky_Sports_F1_Live_TV.m3u8
Sky Sports Tennis,http://23.237.228.133/live2/Sky_Sports_Tennis.m3u8
Sky Sports Cricket Live TV,http://23.237.228.133/live2/Sky_Sports_Cricket_Live_TV.m3u8
Sky Sports News Live TV,http://23.237.228.133/live2/Sky_Sports_News_Live_TV.m3u8
Sky Sports Arena Live TV,http://23.237.228.133/live2/Sky_Sports_Arena_Live_TV.m3u8
